model,dataset,task,metric,value
,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
,cifar10,zero_shot,top1_accuracy,92.02
,cifar10,zero_shot,top5_accuracy,99.67
,cifar100,zero_shot,top1_accuracy,70.97
,cifar100,zero_shot,top5_accuracy,90.52
,imagenet,zero_shot,top1_accuracy,75.18
,imagenet,zero_shot,top5_accuracy,93.54
,imagenet_v2,zero_shot,top1_accuracy,67.60000000000001
,imagenet_v2,zero_shot,top5_accuracy,89.42999999999999
,imagenet_real,zero_shot,top1_accuracy,75.18
,imagenet_real,zero_shot,top5_accuracy,93.54
,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
