model,dataset,task,metric,value
./checkpoints/reglip/best_model.pth,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
./checkpoints/reglip/best_model.pth,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
./checkpoints/reglip/best_model.pth,cifar10,zero_shot,top1_accuracy,47.38
./checkpoints/reglip/best_model.pth,cifar10,zero_shot,top5_accuracy,84.72
./checkpoints/reglip/best_model.pth,cifar100,zero_shot,top1_accuracy,8.540000000000001
./checkpoints/reglip/best_model.pth,cifar100,zero_shot,top5_accuracy,22.689999999999998
./checkpoints/reglip/best_model.pth,imagenet,zero_shot,top1_accuracy,2.188
./checkpoints/reglip/best_model.pth,imagenet,zero_shot,top5_accuracy,6.72
./checkpoints/reglip/best_model.pth,imagenet_v2,zero_shot,top1_accuracy,2.15
./checkpoints/reglip/best_model.pth,imagenet_v2,zero_shot,top5_accuracy,6.78
./checkpoints/reglip/best_model.pth,imagenet_real,zero_shot,top1_accuracy,2.188
./checkpoints/reglip/best_model.pth,imagenet_real,zero_shot,top5_accuracy,6.72
./checkpoints/reglip/best_model.pth,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
