model,dataset,task,metric,value
RegLIP Frozen,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
RegLIP Frozen,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
RegLIP Frozen,cifar10,zero_shot,top1_accuracy,76.92
RegLIP Frozen,cifar10,zero_shot,top5_accuracy,98.61999999999999
RegLIP Frozen,cifar100,zero_shot,top1_accuracy,40.62
RegLIP Frozen,cifar100,zero_shot,top5_accuracy,68.97999999999999
RegLIP Frozen,imagenet,zero_shot,top1_accuracy,22.38
RegLIP Frozen,imagenet,zero_shot,top5_accuracy,47.260000000000005
RegLIP Frozen,imagenet_v2,zero_shot,top1_accuracy,19.61
RegLIP Frozen,imagenet_v2,zero_shot,top5_accuracy,42.99
RegLIP Frozen,imagenet_real,zero_shot,error,data_root not provided. Set IMAGENET_ROOT env var or use --imagenet_root
RegLIP Frozen,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
