model,dataset,task,metric,value
./checkpoints/siglip/best_model.pth,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
./checkpoints/siglip/best_model.pth,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
./checkpoints/siglip/best_model.pth,cifar10,zero_shot,top1_accuracy,18.099999999999998
./checkpoints/siglip/best_model.pth,cifar10,zero_shot,top5_accuracy,79.93
./checkpoints/siglip/best_model.pth,cifar100,zero_shot,top1_accuracy,9.01
./checkpoints/siglip/best_model.pth,cifar100,zero_shot,top5_accuracy,24.32
./checkpoints/siglip/best_model.pth,imagenet,zero_shot,top1_accuracy,10.66
./checkpoints/siglip/best_model.pth,imagenet,zero_shot,top5_accuracy,25.180000000000003
./checkpoints/siglip/best_model.pth,imagenet_v2,zero_shot,error,data_root not provided. Set IMAGENET_V2_ROOT env var or use --imagenet_v2_root
./checkpoints/siglip/best_model.pth,imagenet_real,zero_shot,top1_accuracy,10.66
./checkpoints/siglip/best_model.pth,imagenet_real,zero_shot,top5_accuracy,25.180000000000003
./checkpoints/siglip/best_model.pth,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
