model,dataset,task,metric,value
./checkpoints/siglip_frozen/best_model.pth,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
./checkpoints/siglip_frozen/best_model.pth,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
./checkpoints/siglip_frozen/best_model.pth,cifar10,zero_shot,top1_accuracy,26.46
./checkpoints/siglip_frozen/best_model.pth,cifar10,zero_shot,top5_accuracy,71.37
./checkpoints/siglip_frozen/best_model.pth,cifar100,zero_shot,top1_accuracy,3.34
./checkpoints/siglip_frozen/best_model.pth,cifar100,zero_shot,top5_accuracy,12.94
./checkpoints/siglip_frozen/best_model.pth,imagenet,zero_shot,top1_accuracy,1.28
./checkpoints/siglip_frozen/best_model.pth,imagenet,zero_shot,top5_accuracy,4.82
./checkpoints/siglip_frozen/best_model.pth,imagenet_v2,zero_shot,top1_accuracy,1.3599999999999999
./checkpoints/siglip_frozen/best_model.pth,imagenet_v2,zero_shot,top5_accuracy,4.53
./checkpoints/siglip_frozen/best_model.pth,imagenet_real,zero_shot,top1_accuracy,1.28
./checkpoints/siglip_frozen/best_model.pth,imagenet_real,zero_shot,top5_accuracy,4.82
./checkpoints/siglip_frozen/best_model.pth,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
