model,dataset,task,metric,value
RegLIP Fine-tuned,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
RegLIP Fine-tuned,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
RegLIP Fine-tuned,cifar10,zero_shot,top1_accuracy,49.89
RegLIP Fine-tuned,cifar10,zero_shot,top5_accuracy,89.52
RegLIP Fine-tuned,cifar100,zero_shot,top1_accuracy,19.68
RegLIP Fine-tuned,cifar100,zero_shot,top5_accuracy,41.83
RegLIP Fine-tuned,imagenet,zero_shot,top1_accuracy,13.639999999999999
RegLIP Fine-tuned,imagenet,zero_shot,top5_accuracy,32.36
RegLIP Fine-tuned,imagenet_v2,zero_shot,top1_accuracy,12.72
RegLIP Fine-tuned,imagenet_v2,zero_shot,top5_accuracy,29.07
RegLIP Fine-tuned,imagenet_real,zero_shot,error,data_root not provided. Set IMAGENET_ROOT env var or use --imagenet_root
RegLIP Fine-tuned,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
