model,dataset,task,metric,value
./checkpoints/reglip_frozen/best_model.pth,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
./checkpoints/reglip_frozen/best_model.pth,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
./checkpoints/reglip_frozen/best_model.pth,cifar10,zero_shot,top1_accuracy,23.13
./checkpoints/reglip_frozen/best_model.pth,cifar10,zero_shot,top5_accuracy,81.2
./checkpoints/reglip_frozen/best_model.pth,cifar100,zero_shot,top1_accuracy,2.69
./checkpoints/reglip_frozen/best_model.pth,cifar100,zero_shot,top5_accuracy,12.9
./checkpoints/reglip_frozen/best_model.pth,imagenet,zero_shot,top1_accuracy,1.4200000000000002
./checkpoints/reglip_frozen/best_model.pth,imagenet,zero_shot,top5_accuracy,4.32
./checkpoints/reglip_frozen/best_model.pth,imagenet_v2,zero_shot,top1_accuracy,1.31
./checkpoints/reglip_frozen/best_model.pth,imagenet_v2,zero_shot,top5_accuracy,4.15
./checkpoints/reglip_frozen/best_model.pth,imagenet_real,zero_shot,top1_accuracy,1.4200000000000002
./checkpoints/reglip_frozen/best_model.pth,imagenet_real,zero_shot,top5_accuracy,4.32
./checkpoints/reglip_frozen/best_model.pth,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
