model,dataset,task,metric,value
SigLIP Fine-tuned,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
SigLIP Fine-tuned,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
SigLIP Fine-tuned,cifar10,zero_shot,top1_accuracy,18.099999999999998
SigLIP Fine-tuned,cifar10,zero_shot,top5_accuracy,79.93
SigLIP Fine-tuned,cifar100,zero_shot,top1_accuracy,9.01
SigLIP Fine-tuned,cifar100,zero_shot,top5_accuracy,24.32
SigLIP Fine-tuned,imagenet,zero_shot,top1_accuracy,10.66
SigLIP Fine-tuned,imagenet,zero_shot,top5_accuracy,25.180000000000003
SigLIP Fine-tuned,imagenet_v2,zero_shot,top1_accuracy,9.41
SigLIP Fine-tuned,imagenet_v2,zero_shot,top5_accuracy,22.509999999999998
SigLIP Fine-tuned,imagenet_real,zero_shot,error,data_root not provided. Set IMAGENET_ROOT env var or use --imagenet_root
SigLIP Fine-tuned,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
