model,dataset,task,metric,value
./checkpoints/siglip/best_model.pth,flickr30k,retrieval,error,data_root not provided. Set DATA_ROOT env var or use --data_root
./checkpoints/siglip/best_model.pth,coco,retrieval,error,torch.cat(): expected a non-empty list of Tensors
./checkpoints/siglip/best_model.pth,cifar10,zero_shot,top1_accuracy,24.58
./checkpoints/siglip/best_model.pth,cifar10,zero_shot,top5_accuracy,72.50999999999999
./checkpoints/siglip/best_model.pth,cifar100,zero_shot,top1_accuracy,5.13
./checkpoints/siglip/best_model.pth,cifar100,zero_shot,top5_accuracy,11.72
./checkpoints/siglip/best_model.pth,imagenet,zero_shot,top1_accuracy,1.396
./checkpoints/siglip/best_model.pth,imagenet,zero_shot,top5_accuracy,3.2239999999999998
./checkpoints/siglip/best_model.pth,imagenet_v2,zero_shot,top1_accuracy,1.28
./checkpoints/siglip/best_model.pth,imagenet_v2,zero_shot,top5_accuracy,3.1199999999999997
./checkpoints/siglip/best_model.pth,imagenet_real,zero_shot,top1_accuracy,1.396
./checkpoints/siglip/best_model.pth,imagenet_real,zero_shot,top5_accuracy,3.2239999999999998
./checkpoints/siglip/best_model.pth,objectnet,zero_shot,error,data_root not provided. Set OBJECTNET_ROOT env var or use --objectnet_root
